,id,suggestion,author,date_created,last_upvoted,comments,status,votes,Description
79,179087,Add more then 2 letters for the state or country better geographic clarity pleas,James McLean,"14 Apr, 2021",03 Aug,0,Under consideration,17,"As a global app, 2 letters is just not enough to clearly identify the location. What does CA mean? Cambodia, Canada, California'?. 2 letters are not enough, especially when you're not even consistent with whether it is a state or country. If it is a state then add the country. Better yet, you could use a small pic of the country's flag. That would save screen space and add character to the app."
80,172209,Home screen should be messaging,Dan,"21 Mar, 2021",14 Jul,0,Under consideration,17,Home Screen should be messaging not back to more profiles. This will allow us to focus on our matches and not on just swiping.
81,188769,Filter returned missionary,Matthew S. Mahoney,"03 Jun, 2021",12 Jul,11,Under consideration,16,
82,192610,Add a section asking about covid vaccination status,Chad,"19 Jun, 2021",12 Aug,5,Under consideration,16,
83,165321,Minimum character count in bio,Qaseem Maajid-Bey,"02 Mar, 2021",09 Jul,2,Not planned,16,Have a minimum character count in the bio to encourage people to talk about themselves and increase interest.
84,175897,Publish dating market statistics for an area,Trent,"02 Apr, 2021",09 Aug,0,Under consideration,16,"Or sell them, if mutual needs the money. Basically the app has a lot of interesting data already (how many lds people are dating in X city, how many swipes result in a match, how many matches result in a two way message, what portion of users are male/female in a given area, how many people does it take to get a match on average, etc).  YSA move around a lot and it would be very helpful and valuable to have an idea for these sorts of things ('oh, the job offer in Chicago has 200 mutual users in the area, but the offer in DC has 600, good to know'). I bet plenty of users would pay $10+ for a detailed report and it would cost very little to produce since the app already knows it's user base.  More personalized reports like 'X percent of people swipe up on this photo, Y percent on this other photo' or even 'of 1000 male profiles in the area, users swipe on you more than they do on 550 of the others' etc would also be interesting. The user base generates the data, let them see it."
85,173770,Party room,Braeden,"25 Mar, 2021",14 Jul,0,Under consideration,16,"(This tries to mirror connecting with people at a party)  Display the first profile pic of 6 different people side by side. The user taps 2 of those people to ""get to know better"". The other 4 people go away, and the user sees those 2 people's whole profile.  They swipe up or down, then 6 new people come up, in the same process.  The 4 people they did not choose do not show up again for 1 week (or maybe 24 hours), after which they will come back around in the rotation.  (This adds a fun element of decision, sort of like at a party where you have a limited amount of time to spend talking to people) Might be a fun twist!"
86,164969,Scroll bar,Cole,"02 Mar, 2021",02 Aug,0,Under consideration,16,"Make the distance bar not a slide bar, but instead one of those scroll wheel things. The slide bar is too inconvenient for thousands of miles to be on"
87,199535,Fix photo sizing,Kyra,"26 Jul, 2021",12 Jul,4,Under consideration,15,"Sometimes when I try to add a photo that isn't the exact size it needs it to be, I have to resize it or screenshot it. Some of them turn out blurry or sized weird"
88,194685,See at least 1 person per week,Micah Conover,"29 Jun, 2021",09 Aug,0,Done,15,"I think it would be nice to get to see at least 1 person who likes me per week for free. That wouldn't get rid of the incentive to pay to see the 99+ people who like me, but it would make it so I could match a little more easily. Sometimes it's discouraging to swipe for a long while, and exit the app without any luck. Being able to see someone who likes me each week, would at least insure that I come across something that could be mutual, once in a while."
89,282931,Family tree app linked to this,Hailey,26 Feb,03 Aug,2,Under consideration,14,"I have had a 2nd cousin swipe up and communicate with multiple girls he's related to. Not me, but 2 of my cousins. They found this out at a family funeral and as you can imagine, it was quite funny/awkward. Since there are no last names, I think the family tree app that says how closely you're related would be helpful hahah."
90,186715,Allow those who you have liked to see you liked them,Anonymous,"21 May, 2021",16 Jul,2,Planned,14,"When people pay for the membership on the app, it should allow people who you swipe up on be able to see that you want to connect with them. Otherwise I feel like you have just as much of a chance of finding a connection as someone who doesn't pay for the app."
91,179930,Timedate stamp on messages,Howie,"18 Apr, 2021",09 Jul,1,Under consideration,14,Time/date stamp on messages
92,202149,React to messages sent,Kristina Cannon,"09 Aug, 2021",09 Aug,0,Under consideration,14,"An awesome feature would be to mirror iphone messages/instagram dms with how you can react to messages sent to you. I love being able to heart a message, emphasize a message etc. I just had the thought to maybe add another feature where you can reply to specific messages like you can imessage."
93,192772,Be able to set your location to your home city while traveling,Jacob Coleman,"19 Jun, 2021",14 Jul,0,Done,14,It would be great to be able to still have your location be your home location while traveling. This way you can still find singles within reasonable distance while traveling and not feel like the app is completely useless because it's you can only look at singles in your vacation location.
