,id,suggestion,author,date_created,last_upvoted,comments,status,votes
163,165329,Increase photo count,Qaseem Maajid-Bey,"02 Mar, 2021",01 Nov,4,Feedback Needed,139
164,170628,Match explanations,Aidan Nemelka,"18 Mar, 2021",25 Oct,6,Feedback Needed,129
165,174999,Allow short videos to be added to profile,Jeannine,"30 Mar, 2021",29 Oct,27,Feedback Needed,128
166,165005,Share photos send photos in chat,Ejkl,"02 Mar, 2021",2 days ago,20,Feedback Needed,117
167,170306,Profile analytics,Robert,"17 Mar, 2021",30 Oct,19,Feedback Needed,115
168,179902,Mutual games,Joe,"17 Apr, 2021",20 Oct,11,Feedback Needed,106
169,169249,Video call speed dating,Anonymous,"13 Mar, 2021",18 Oct,14,Feedback Needed,94
170,169448,Change unmatch reasons,Nate,"15 Mar, 2021",14 Oct,9,Feedback Needed,78
171,176350,Display full name,KH,"05 Apr, 2021",14 Oct,38,Feedback Needed,76
172,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",01 Nov,2,Feedback Needed,74
173,175785,Bring back old matches,Greg,"01 Apr, 2021",2 days ago,5,Feedback Needed,72
174,164958,Nudges or reminders,Sarah,"02 Mar, 2021",29 Sep,2,Feedback Needed,70
175,338157,Display where the person actually lives instead of just where that person is tra,Angie,21 Oct,today,1,Feedback Needed,5
176,334432,See notes sent and read status,Trevor,03 Oct,01 Nov,1,Feedback Needed,5
177,336290,Make notes great again,N,12 Oct,18 Oct,0,Feedback Needed,4
178,334096,Filter by school attendance,Jacob,01 Oct,19 Oct,0,Feedback Needed,4
179,337572,People who have liked me can bypass filters,Tustin,19 Oct,24 Oct,0,Feedback Needed,3
180,335574,Stop just swipe and allow more communication,Zac,08 Oct,today,0,Feedback Needed,2
181,332372,Filter by persons name,Jonathan Hansen,25 Sep,19 Oct,0,Feedback Needed,2
182,329849,Short profile videos,Samuel Roberts,15 Sep,15 Sep,1,Feedback Needed,1
183,337834,Lets talk about prompt,Virginia,20 Oct,20 Oct,0,Feedback Needed,1
184,336846,Member status filter,Tyler,14 Oct,14 Oct,0,Feedback Needed,1
