,Country,Name,POS,AGE,HT,WT,Country_logo,BMI
119,Cameroon,Olivier Ntcham,Midfielder,26,177.8,79.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,25.2
120,Cameroon,Gael Ondua,Midfielder,27,182.88,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,23.6
121,Cameroon,Samuel Oum Gouet,Midfielder,24,182.88,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,22.4
122,Cameroon,Andre Zambo Anguissa,Midfielder,27,182.88,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,23.2
123,Cameroon,Vincent Aboubakar,Forward,30,175.26,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,25.7
124,Cameroon,Christian Bassogog,Forward,27,177.8,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,23.7
125,Cameroon,Eric Maxim Choupo-Moting,Forward,33,190.5,89.8,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,24.7
126,Cameroon,Karl Toko Ekambi,Forward,30,182.88,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,23.2
127,Cameroon,Bryan Mbeumo,Forward,23,172.72,63.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,21.4
128,Cameroon,Nicolas Moumi Ngamaleu,Forward,28,180.34,73.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,22.7
129,Cameroon,Jean-Pierre Nsame,Forward,29,187.96,88.9,https://b.fssta.com/uploads/application/countries/flag-logos/120.vresize.350.350.medium.0.png,25.2
130,Canada,Milan Borjan,Goalkeeper,35,193.04,82.5,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,22.1
131,Canada,James Pantemis,Goalkeeper,25,182.88,75.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,22.6
132,Canada,Dayne St. Clair,Goalkeeper,25,190.5,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,20.6
133,Canada,Sam Adekugbe,Defender,27,172.72,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,25.1
134,Canada,Derek Cornelius,Defender,25,185.42000000000002,85.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,24.9
135,Canada,Alistair Johnston,Defender,24,177.8,76.6,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,24.2
136,Canada,Richie Laryea,Defender,27,172.72,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,22.7
137,Canada,Kamal Miller,Defender,25,182.88,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,22.4
138,Canada,Steven Vitoria,Defender,35,193.04,85.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,23.0
139,Canada,Joel Waterman,Defender,26,182.88,73.9,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,22.1
140,Canada,Stephen Eustaquio,Midfielder,25,177.8,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,22.1
141,Canada,Liam Fraser,Midfielder,24,182.88,80.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,24.1
142,Canada,Junior Hoilett,Midfielder,32,172.72,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,23.4
143,Canada,Atiba Hutchinson,Midfielder,39,182.88,82.5,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,24.7
144,Canada,Mark-Anthony Kaye,Midfielder,27,182.88,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,20.9
145,Canada,Ismael Kone,Midfielder,20,187.96,75.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,21.4
146,Canada,Liam Millar,Midfielder,23,175.26,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,23.3
147,Canada,Jonathan Osorio,Midfielder,30,172.72,72.6,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,24.3
148,Canada,Samuel Piette,Midfielder,28,170.18,72.6,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,25.1
149,Canada,David Wotherspoon,Midfielder,32,170.18,75.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,26.1
150,Canada,Tajon Buchanan,Forward,23,182.88,70.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,21.1
151,Canada,Lucas Cavallini,Forward,29,177.8,85.7,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,27.1
152,Canada,Jonathan David,Forward,22,172.72,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,23.4
153,Canada,Alphonso Davies,Forward,22,182.88,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,22.4
154,Canada,Cyle Larin,Forward,27,187.96,89.8,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,25.4
155,Canada,Ike Ugbo,Forward,24,182.88,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/124.vresize.350.350.medium.0.png,23.6
156,Costa rica,Esteban Alvarado Brown,Goalkeeper,33,190.5,88.0,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,24.2
157,Costa rica,Keylor Navas,Goalkeeper,35,182.88,79.8,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,23.9
158,Costa rica,Patrick Sequeira,Goalkeeper,23,187.96,83.9,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,23.7
159,Costa rica,Francisco Calvo,Defender,30,177.8,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,24.5
160,Costa rica,Oscar Duarte,Defender,33,185.42000000000002,80.7,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,23.5
161,Costa rica,Keysher Fuller,Defender,28,182.88,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,23.2
162,Costa rica,Carlos Martinez,Defender,23,175.26,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/188.vresize.350.350.medium.0.png,22.7
