Country,Name,POS,AGE,HT,WT
England,Jordan Henderson,Midfielder,32,182.88,66.7
England,James Maddison,Midfielder,26,172.72,72.6
England,Mason Mount,Midfielder,23,177.8,64.9
England,Kalvin Phillips,Midfielder,26,177.8,71.7
England,Declan Rice,Midfielder,23,182.88,79.8
England,Jack Grealish,Forward,27,172.72,67.6
England,Harry Kane,Forward,29,187.96,64.9
England,Marcus Rashford,Forward,25,177.8,69.8
England,Bukayo Saka,Forward,21,177.8,64.9
England,Raheem Sterling,Forward,27,167.64000000000001,68.9
England,Callum Wilson,Forward,30,177.8,65.8
France,Alphonse Areola,Goalkeeper,29,193.04,93.9
France,Hugo Lloris,Goalkeeper,35,187.96,81.6
France,Steve Mandanda,Goalkeeper,37,185.42000000000002,81.6
France,Axel Disasi,Defender,24,187.96,85.7
France,Youssouf Fofana,Defender,23,177.8,73.9
France,Lucas Hernandez,Defender,26,182.88,78.9
France,Theo Hernandez,Defender,25,182.88,80.7
France,Ibrahima Konate,Defender,23,193.04,83.9
France,Jules Kounde,Defender,24,177.8,69.8
France,Benjamin Pavard,Defender,26,185.42000000000002,80.7
France,William Saliba,Defender,21,190.5,82.5
France,Dayot Upamecano,Defender,24,185.42000000000002,89.8
France,Raphael Varane,Defender,29,190.5,80.7
France,Eduardo Camavinga,Midfielder,20,180.34,67.6
France,Matteo Guendouzi,Midfielder,23,182.88,67.6
France,Adrien Rabiot,Midfielder,27,190.5,70.7
France,Aurelien Tchouameni,Midfielder,22,185.42000000000002,79.8
France,Jordan Veretout,Midfielder,29,175.26,66.7
France,Karim Benzema,Forward,34,185.42000000000002,80.7
France,Kingsley Coman,Forward,26,177.8,75.7
France,Ousmane Dembele,Forward,25,177.8,66.7
France,Olivier Giroud,Forward,36,190.5,90.7
France,Antoine Griezmann,Forward,31,172.72,72.6
France,Randal Kolo Muani,Forward,23,185.42000000000002,72.6
France,Kylian Mbappe,Forward,23,177.8,72.6
France,Marcus Thuram,Forward,25,190.5,89.8
Germany,Manuel Neuer,Goalkeeper,36,190.5,91.6
Germany,Marc-Andre ter Stegen,Goalkeeper,30,185.42000000000002,84.8
Germany,Kevin Trapp,Goalkeeper,32,187.96,88.0
Germany,Armel Bella-Kotchap,Defender,20,187.96,86.6
Germany,Matthias Ginter,Defender,28,187.96,82.5
Germany,Christian Gunter,Defender,29,182.88,80.7
Germany,Thilo Kehrer,Defender,26,185.42000000000002,75.7
Germany,Lukas Klostermann,Defender,26,185.42000000000002,88.0
Germany,David Raum,Defender,24,177.8,74.8
Germany,Antonio Rudiger,Defender,29,187.96,84.8
Germany,Nico Schlotterbeck,Defender,22,190.5,85.7
Germany,Niklas Sule,Defender,27,193.04,96.6
Germany,Julian Brandt,Midfielder,26,182.88,81.6
Germany,Leon Goretzka,Midfielder,27,187.96,78.9
Germany,Mario Gotze,Midfielder,30,175.26,74.8
Germany,Ilkay Gundogan,Midfielder,32,177.8,78.9
Germany,Jonas Hofmann,Midfielder,30,175.26,66.7
Germany,Joshua Kimmich,Midfielder,27,175.26,72.6
Germany,Thomas Muller,Midfielder,33,182.88,75.7
Germany,Jamal Musiala,Midfielder,19,177.8,71.7
Germany,Leroy Sane,Midfielder,26,182.88,74.8
Germany,Karim Adeyemi,Forward,20,177.8,68.9
Germany,Niclas Fullkrug,Forward,29,187.96,77.6
Germany,Serge Gnabry,Forward,27,175.26,74.8
Germany,Kai Havertz,Forward,23,187.96,76.6
Germany,Youssoufa Moukoko,Forward,18,177.8,71.7
Ghana,Ibrahim Danlad,Goalkeeper,19,180.34,75.7
Ghana,Abdul Manaf Nurudeen,Goalkeeper,23,187.96,74.8
Ghana,Lawrence Ati Zigi,Goalkeeper,26,187.96,86.6
Ghana,Joseph Aidoo,Defender,27,182.88,79.8
Ghana,Daniel Amartey,Defender,27,185.42000000000002,78.9
Ghana,Rahman Baba,Defender,28,177.8,69.8
Ghana,Alexander Djiku,Defender,28,180.34,80.7
Ghana,Tariq Lamptey,Defender,22,167.64000000000001,54.9
Ghana,Gideon Mensah,Defender,24,177.8,63.9
Ghana,Denis Odoi,Defender,34,177.8,66.7
Ghana,Mohammed Salisu,Defender,23,190.5,81.6
Ghana,Alidu Seidu,Defender,22,172.72,67.6
Ghana,Salis Abdul Samed,Midfielder,22,177.8,72.6
Ghana,Daniel Afriyie,Midfielder,21,167.64000000000001,77.6
Ghana,Osman Bukari,Midfielder,23,167.64000000000001,65.8
Ghana,Issahaku Fatawu,Midfielder,18,175.26,72.6
