,Estacion,Propietario,Operador,Región,Provincia,Comuna,Coordenadas UTM,Huso horario,Recepción de datos,Inicio de operación reportada,Fin de operación reportada
180,Nueva  Aldea,Celulosa Arauco y Constitución,CESMEC S.A,del Biobío,Ñuble,Ránquil,727481 E 5940768 N,18,en línea,2005-05-01,
12,Nueva ChiuChiu,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,536175 E 7529174 N,19,en línea,2019-04-01,
188,Nueva Libertad,Compañía Siderurgica Huachipato,Compañía Siderurgica Huachipato,del Biobío,Concepción,Talcahuano,667962 E 5932742 N,19,en línea,2007-06-12,
13,Oasis,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,508165 E 7515782 N,19,en línea,2012-02-01,
3,Oncológico,Convenio  AIA-CONAMA-SEREMI de Salud,Serpram S.A,de Antofagasta,Antofagasta,Antofagasta,357923 E 7383182 N,19,carga manual,2005-08-23,
202,Osorno,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de los Lagos,Osorno,Osorno,659217 E 5505665 N,18,en línea,2008-01-02,
60,Pabellón,ENAMI Fundición Hernán Videla Lira,Algoritmos y Mediciones Ambientales SpA,de Atacama,Copiapó,Tierra Amarilla,378151 E 6940115 N,19,carga manual,1992-10-01,
191,Padre Las Casas,Ministerio del Medio Ambiente,ESETEC,de La Araucanía,Cautín,Padre las Casas,708934 E 5705703 N,19,carga manual,2003-01-01,2009-12-31
190,Padre Las Casas II,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de La Araucanía,Cautín,Padre las Casas,708625 E 5706593 N,18,en línea,2012-04-20,
39,Paipote,ENAMI Fundición Hernán Videla Lira,Algoritmos y Mediciones Ambientales SpA,de Atacama,Copiapó,Copiapó,374539 E 6967442 N,19,en línea,1992-10-01,
25,Paposo,Empresa Nacional de Electricidad S.A. Central Taltal,Serpram S.A,de Antofagasta,Antofagasta,Taltal,352352 E 7233451 N,19,carga manual,2000-02-20,
126,Parque O'Higgins,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Santiago,345673 E 6296019 N,19,en línea,1997-03-08,
4,Playa Blanca,Convenio  AIA-CONAMA-SEREMI de Salud,Serpram S.A,de Antofagasta,Antofagasta,Antofagasta,356498 E 7381134 N,19,carga manual,2007-09-01,
93,Puchuncaví,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Puchuncaví,274379 E 6377331 N,19,en línea,1992-07-01,
122,Pudahuel,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Pudahuel,337311 E 6298809 N,19,en línea,1997-04-01,
123,Puente Alto,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Cordillera,Puente Alto,352049 E 6282013 N,19,en línea,2008-05-20,
208,Puerto Varas,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de los Lagos,Llanquihue,Puerto Varas,669783 E 5422635 N,18,en línea,2020-04-27,
212,Punta Arenas,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Magallanes y Antártica Chilena,Magallanes,Punta Arenas,371526 E 4108390 N,19,en línea,2013-12-04,
71,Punta Chungo,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Los Vilos,264090 E 647024 N,19,carga manual,2003-02-03,
152,Punteras,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Chiguayante,674923 E 5911833 N,18,en línea,2009-01-01,
26,Punto de Máximo Impacto,Empresa Nacional de Electricidad S.A. Central Taltal,Serpram S.A,de Antofagasta,Antofagasta,Taltal,352524 E 7236146 N,19,carga manual,2000-02-29,
155,Puren,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Ñuble,Chillán,759972 E 5943765 N,18,en línea,2012-03-01,
76,Quelen Alto,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Salamanca,326384 E 6469765 N,19,carga manual,2005-03-16,
124,Quilicura,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,Metropolitana de Santiago,Santiago,Quilicura,339594 E 6308625 N,19,en línea,2016-02-06,
125,Quilicura I,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Quilicura,337356 E 6306788 N,19,carga manual,2008-05-18,
179,Quillón,Celulosa Arauco y Constitución,CESMEC S.A,del Biobío,Ñuble,Quillón,725429 E 5930819 N,18,en línea,2005-05-01,
104,Quilpue,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Valparaíso,Quilpué,272673 E 6340819 N,19,en línea,2013-12-03,
109,Quintero,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Quintero,262528 E 63711087 N,19,en línea,2003-05-01,
136,Rancagua I,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,342015 E 6218523 N,19,en línea,2004-05-01,
137,Rancagua II,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,339842 E 6220527 N,19,en línea,2013-01-01,
5,Rendic,Convenio  AIA-CONAMA-SEREMI de Salud,Serpram S.A,de Antofagasta,Antofagasta,Antofagasta,359138 E 7387995 N,19,carga manual,2005-07-01,
138,Rengo,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Libertador General Bernardo O'Higgins,Cachapoal,Rengo,329665 E 6192542 N,19,en línea,2007-04-01,
82,Romeral,Fundicion Chagres de Anglo American Sur S.A.,CESMEC S.A,de Valparaíso,San Felipe de Aconcagua,Catemu,312181 E 6366428 N,19,en línea,1994-01-01,
79,Rural 1,NO INFORMADO,NO INFORMADO,de Valparaíso,Quillota,Calera,195815 E 6371858 N,19,carga manual,1999-06-01,
54,SM1 ,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,279357 E 6845277 N,19,en línea,2000-09-06,
55,SM2,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,286412 E 6849717 N,19,en línea,2000-09-06,
56,SM3 ,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,286750 E 6848592 N,19,en línea,2000-09-06,
57,SM4 ,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,287841 E 6847562 N,19,en línea,2000-09-06,
58,SM5 ,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,289916 E 6847254 N,19,en línea,2000-09-06,
45,SM6 ,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Freirina,291871 E 6845160 N,19,en línea,2000-09-06,
46,SM7 ,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Freirina,294836 E 6845838 N,19,en línea,2000-09-06,
47,SM8 ,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Freirina,296285 E 6844810 N,19,en línea,2000-09-06,
181,San Carlos,,Algoritmos y Mediciones Ambientales SpA,del Biobío,Ñuble,San Carlos,762354 E 5953627 N,18,en línea,2021-08-20,
141,San Fernando,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Libertador General Bernardo O'Higgins,Colchagua,San Fernando,317503 E 6171746 N,19,en línea,2007-04-01,
40,San Fernando,ENAMI Fundición Hernán Videla Lira,Algoritmos y Mediciones Ambientales SpA,de Atacama,Copiapó,Copiapó,371592 E 6969334 N,19,en línea,1992-10-01,
135,San Francisco de Mostazal,Colbún S.A,Serpram S.A,del Libertador General Bernardo O'Higgins,Cachapoal,Mostazal,342567 E 6238686 N,19,carga manual,2004-01-21,
16,San José,Codelco Distrito Norte,CIMM Tecnologías y Servicios S.A.,de Antofagasta,El Loa,Calama,507229 E 7532289 N,19,carga manual,1994-05-02,
102,San Pedro,Central Termoelectrica Nehuenco,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Quillota,Quillota,287372 E 6353370 N,19,en línea,1998-11-01,
185,"San Vicente, Bomberos",Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Concepción,Talcahuano,667625 E 5934339 N,18,carga manual,2000-01-01,2013-10-08
83,Santa Margarita,Fundicion Chagres de Anglo American Sur S.A.,CESMEC S.A,de Valparaíso,San Felipe de Aconcagua,Catemu,318469 E 6371812 N,19,en línea,1994-01-01,
14,Servicio Médico Legal,Codelco Distrito Norte,CIMM Tecnologías y Servicios S.A.,de Antofagasta,El Loa,Calama,505383 E 7516195 N,19,carga manual,2008-04-11,
133,Sewell,Codelco Divsión El Teniente,"Codelco, División El Teniente, Gerencia Fundición",del Libertador General Bernardo O'Higgins,Cachapoal,Machalí,372504 E 6227642 N,19,carga manual,1992-08-01,
24,Sierra Gorda ,Sierra Gorda SCM,Servicios y Tecnología Ltda.,de Antofagasta,Antofagasta,Sierra Gorda,467298 E 7468596 N,19,en línea,2012-08-15,
129,Subestación Candelaria,Colbún S.A,Serpram S.A,del Libertador General Bernardo O'Higgins,Cachapoal,Codegua,351495 E 6233158 N,19,carga manual,2004-01-01,
29,Super Site,ENGIE Energia Chile S.A.,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Tocopilla,Tocopilla,377404 E 7557193 N,19,en línea,2017-12-12,
35,Sur,Electroandina S.A.,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Tocopilla,Tocopilla,374794 E 7554836 N,19,carga manual,2004-03-01,
110,Sur,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Quintero,267461 E 6368037 N,19,en línea,1993-10-01,
6,Sur,"Complejo Metalúrgico Altonorte, Xstrata Copper Chile S.A.",Serpram S.A,de Antofagasta,Antofagasta,Antofagasta,366690 E 7363604 N,19,carga manual,1998-01-01,
127,Talagante,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Talagante,Talagante,318945 E 6272298 N,19,en línea,2008-05-22,
149,"Teno, CEMENTOS BIO BIO",Cementos Bio Bio Centro S.A.,Serpram S.A,del Maule,Curicó,Teno,302204 E 6139464 N,19,carga manual,2008-03-10,
150,"Teno, ENLASA",ENLASA Generación Chile S.A.,Algoritmos y Mediciones Ambientales SpA,del Maule,Curicó,Teno,305205 E 6140221 N,19,carga manual,2009-06-01,
99,Terminal Concentrados,Puerto Ventanas S.A,NO INFORMADO,de Valparaíso,Valparaíso,Puchuncaví,267640 E 6373585 N,19,carga manual,1999-06-01,2005-05-01
