Section,Name,description,Date,url_article,url_image
U.S.,"""Gaps remain"": U.S. responds to latest draft of Iran nuclear deal","Israel's prime minister has branded the deal on the table a ""bad one,"" and warned it will give billions of dollars to Iran and its regional militia groups.",4H ago,https://www.cbsnews.com/news/u-s-responds-iran-nuclear-deal-draft/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/2238677e-cc4b-4bc8-9d6f-24d7ee4c6aca/thumbnail/640x360/36cdad2549e7cc2b9fdbf54504c75309/ap22215593919289.jpg#
U.S.,Barr advised not to bring obstruction charges against Trump after Mueller report,"Mueller felt he could not to reach a conclusion as to whether the then-president might have obstructed the investigation, leaving the decision on obstruction charges to the Justice Department.",6H ago,https://www.cbsnews.com/news/bill-barr-obstruction-charges-against-donald-trump-mueller-report-newly-released-memo/,https://assets1.cbsnewsstatic.com/hub/i/r/2019/04/18/e01864ee-5bb3-4627-8b4f-f83b941243f3/thumbnail/640x360/760dd996c9871bd49c60187594770198/gettyimages-1137871752.jpg#
U.S.,"Biden administration moves to formalize DACA, shield it from legal challenges","More than 600,000 unauthorized immigrants who arrived in the U.S. as children are able work and live in the U.S. without fear of deportation under the Obama-era DACA policy.",3H ago,https://www.cbsnews.com/news/immigration-daca-biden-federal-regulation-dreamers/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/2d856c03-95f6-401a-af66-8545e7c74783/thumbnail/640x360/e999aa4a209397de0222a907b6471ae0/gettyimages-1241327044.jpg#
U.S.,Judge rules Idaho can't criminalize abortion needed for emergency care,"Under Idaho's new law, performing an abortion on a ""clinically diagnosable pregnancy"" is a felony which could carry a prison sentence of up to five years.",1H ago,https://www.cbsnews.com/news/idaho-abortion-law-emergency-medical-care-judge-injunction/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/25/9db15681-c314-4cc1-8c8e-7a8d94677a1d/thumbnail/640x360/eee7eb2904ae86221106cb36db791a08/gettyimages-1242269139.jpg#
U.S.,"Congressman's wife died after taking herbal remedy, coroner's report says","A coroner's report, obtained by Kaiser Health News, says Lori McClintock died​ from dehydration due to gastroenteritis caused by ""adverse effects of white mulberry leaf ingestion.""",5H ago,https://www.cbsnews.com/news/lori-mcclintock-congressmans-wife-death-white-mulbery-leaf-coroners-report/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/24/109fd420-1939-4c17-a5ad-27508b0ce176/thumbnail/640x360g2/db8bc9b406bcaefb1c1abfaf13ceae79/ap03100706075.jpg#
U.S.,"Jill Biden has ""rebound"" COVID case","First lady Jill Biden tested positive for COVID-19 in an apparent """"rebound"""" case and will return to isolation. She first tested positive last week.",5H ago,https://www.cbsnews.com/video/jill-biden-has-rebound-covid-case/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/08/24/5b8673da-62b9-430d-b992-34c3c9fd06a0/thumbnail/640x360/5d396d9792f2d039281976b764bf0d4d/cbsn-fusion-jill-biden-has-rebound-covid-case-thumbnail-1228140-640x360.jpg#
U.S.,"First lady Jill Biden tests positive again with ""rebound"" case of COVID-19","First lady tested positive for COVID-19 on Wednesday with an apparent ""rebound"" infection and will return to isolation, her office said in a statement.",5H ago,https://www.cbsnews.com/news/jill-biden-covid-19-tests-positive-rebound-case-first-lady/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/08/24/89235fdb-dfee-4d3b-aa23-43117b36ba57/thumbnail/640x360g2/540d4d4cdb4b1cef1c8133c34ea1fb2f/gettyimages-1241707378.jpg#
U.S.,One car accident leads to vastly different ambulance bills for same services,The woman was charged thousands more than her sister and brother after all three siblings were injured in an accident last year.,13H ago,https://www.cbsnews.com/news/illinois-woman-peggy-dula-ambulance-bill-triple-siblings-car-crash/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/07/08/5fee063d-3885-4bf0-aa0b-679e43768a02/thumbnail/640x360/de3ffb67adea9cfc496a01da49df6e40/GettyImages-679549382.jpg#
U.S.,Three U.S. troops in Syria suffer minor injuries in rocket attacks,The U.S. military responded with airstrikes that killed at least two suspected militants.,46M ago,https://www.cbsnews.com/news/three-u-s-troops-in-syria-suffer-minor-injuries-in-rocket-attacks-launched-by-the-suspected-iran-backed-militants/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/25/25539754-cc91-4919-98e7-904b9659161c/thumbnail/640x360/49c987a0a22c488d0c7b64f64fbb4895/apache.jpg#
U.S.,"""Gaps remain"": U.S. responds to latest draft of Iran nuclear deal","Israel's prime minister has branded the deal on the table a ""bad one,"" and warned it will give billions of dollars to Iran and its regional militia groups.",4H ago,https://www.cbsnews.com/news/u-s-responds-iran-nuclear-deal-draft/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/2238677e-cc4b-4bc8-9d6f-24d7ee4c6aca/thumbnail/640x360/36cdad2549e7cc2b9fdbf54504c75309/ap22215593919289.jpg#
U.S.,"Zelenskyy says Russia has put world ""on the brink of radiation catastrophe""",Ukraine's president called for the global nuclear watchdog agency to take control of the Zaporizhzhia nuclear plant.,9H ago,https://www.cbsnews.com/news/ukraine-russia-nuclear-plant-fears-zelenskyy-brink-of-radiation-catastrophe/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/24/b1272823-f77f-44c4-b602-6b46a0677b24/thumbnail/640x360/3ddea7abd303272c9bb7a4002d3943d1/gettyimages-1242539101.jpg#
U.S.,"22 killed in Independence Day attack in Ukraine, Zelenskyy says","Ukraine's president says Russian forces have launched a rocket attack on a train station in central Ukraine on the country's Independence Day, killing at least 22 people and wounding about 50.",5H ago,https://www.cbsnews.com/news/ukraine-independence-day-attack-reported-six-months-after-start-of-war/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/21dcd763-d045-4e3f-8c28-1b40a4ef9a6c/thumbnail/640x360/f7a35f7119114c7301a9f89a5ca4256a/ap22235632833698.jpg#
U.S.,Spain allows suspected gunman to be euthanized before trial,"Victims had argued that Sabau should not be helped to die before his trial, but two Spanish courts ruled that the accused's right to seek assisted suicide prevailed.",11H ago,https://www.cbsnews.com/news/eugen-sabau-spain-suspected-gunman-euthanized/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/08/24/123faf0e-61f5-4350-a468-dca59721b712/thumbnail/640x360/3bfb92ba19e64a4bc22239e144fd89b1/gettyimages-1359014227.jpg#
U.S.,"Jerry Allison, drummer for Buddy Holly, dead at 82","Drummer Jerry Allison, who played and co-wrote songs with rock pioneer and childhood friend Buddy Holly and whose wife inspired the classic ""Peggy Sue,"" has died.",7H ago,https://www.cbsnews.com/news/jerry-allison-drummer-for-buddy-holly-dead-at-82/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/530ad9f5-16b6-42cf-8032-fd1d7c869df4/thumbnail/640x360/033f6a35b0f9247ea75aed4c3a2380ab/jerry-allison-buddy-holly.jpg#
U.S.,Celebrity chef Mario Batali settles 2 lawsuits alleging sexual assault,The former Food Network personality was acquitted of sexual misconduct in May.,10H ago,https://www.cbsnews.com/news/chef-mario-batali-settles-sexual-assault-lawsuits/,https://assets2.cbsnewsstatic.com/hub/i/r/2019/05/24/2aae7018-a9b4-4c09-b73a-7df31905e4c7/thumbnail/640x360/591ffa6cc285b5cd0b5296633ba59efc/baqtali.jpg#
U.S.,"""House of the Dragon"" premiere draws in nearly 10 million viewers",It was the largest audience for any new original series in HBO's history.,Aug 23,https://www.cbsnews.com/news/house-of-the-dragon-hbo-game-of-thrones-prequel/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/23/882191a0-10ef-4393-a866-b806f236b43c/thumbnail/640x360/fc07917b788e137c67eaead7b429e6c4/house-of-the-dragon-0.jpg#
U.S.,Fetty Wap faces mandatory 5-year sentence after guilty plea,The rapper and five others were arrested last October and charged with conspiracy to distribute and possess controlled substances.,Aug 22,https://www.cbsnews.com/news/fetty-wap-guilty-plea-mandatory-5-year-sentence/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/22/dc5f2082-9e54-4dc2-b09f-65bd455f0faf/thumbnail/640x360/c6078958e7a59ce2d55d869da3b9880d/gettyimages-1354790733.jpg#
U.S.,"Virginia Patton Moss, ""It's a Wonderful Life"" actor, dead at age 97","Moss was known for her role as Ruth Dakin Bailey in Frank Capra's ""It's a Wonderful Life"" and was the last surviving adult cast member from the film.",Aug 22,https://www.cbsnews.com/news/virginia-patton-moss-dead-at-97-its-a-wonderful-life-actor/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/08/22/8506371b-22bf-4afc-bcb5-839c1aa72c57/thumbnail/640x360/5862b448b6ca42b0f12193a34b65c7e5/gettyimages-1187707385.jpg#
U.S.,5 takeaways from Twitter whistleblower Peiter Zatko,Revelations from Twitter's former head of security raise serious questions about what the platform tells users and regulators.,8H ago,https://www.cbsnews.com/news/twitter-whistleblower-peiter-zatko-mudge-security/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/2a2fb4d2-423f-4658-9f40-04157081a2e0/thumbnail/640x360/50f9c8b04f1405245142c8e90ed3112c/zatko-gettyimages-1242680586.jpg#
U.S.,Nicholas Thompson on Twitter whistleblower,"In a federal complaint, a former Twitter employee alleged the social media company is ""grossly negligent"" in its information security and that it has shared misleading information with regulators. Nicholas Thompson, CEO of the Atlantic and former editor-in-chief of Wired, joins ""CBS Mornings"" to discuss the allegations and the potential consequences for Twitter.",17H ago,https://www.cbsnews.com/video/the-atlantics-nicholas-thompson-discusses-twitter-whistleblowers-complaint/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/4b65e20b-b2ff-4874-b36a-9331805d2567/thumbnail/640x360/357381f4957e5d43a9064202c0dfc6ab/0824-ctm-twitter-whistleblower-thompson-1226274-640x360.jpg#
U.S.,Boy finds courage to jump into lake,"The former security chief of Twitter has filed an explosive whistleblower complaint against the company. Peiter Zatko claims Twitter executives buried “egregious deficiencies” in the company’s cybersecurity practices. Cat Zakrzewski, a technology policy reporter for The Washington Post who co-wrote the article breaking this story, joins CBS News to discuss.",Aug 23,https://www.cbsnews.com/video/former-twitter-executive-accuses-company-of-burying-security-issues/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/08/23/943b6815-e548-42ae-9393-f2b61bb4c332/thumbnail/640x360/d6988ca839226113556b49de6504bd33/0823-cbsnews-twittersecurity-1223727-640x360.jpg#
U.S.,Elon Musk subpoenas ex-Twitter CEO Jack Dorsey in legal fight,Tesla CEO wants to back out of a $44 billion agreement to acquire the company that Dorsey helped found.,Aug 22,https://www.cbsnews.com/news/elon-musk-subpoenas-jack-dorsey-former-twitter-ceo/,https://assets1.cbsnewsstatic.com/hub/i/r/2021/11/29/af3caaa2-ed1e-440a-87c1-d901a0d79c67/thumbnail/640x360/271f86e971319ddccc77a990e92e0e71/GettyImages-1027064696.jpg#
U.S.,NASA begins final preparations for maiden flight of $4.1 billion SLS rocket,NASA plans to launch its new moon rocket on August 29 to kick off a long-awaited 42-day mission.,Aug 22,https://www.cbsnews.com/news/nasa-managers-review-sls-moon-rocket-launch-preparations/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/22/be10aca8-9865-4d48-a1db-409c6e573b60/thumbnail/640x360/ea39a80b88283adedcc747f6d28c186f/082322-sls1-pad.jpg#
